id,title,body,rating,version,updatedAt
14412891541,amazing!!!,"really good. helped motivate me and kept the workouts easy, fun, and productive. i just wish there were more free courses, or the option to watch an add to use all of the courses that are premium.",4,8.4.29,2026-08-11T00:00:00.000Z
14411802642,Impossible to exit ads,"Even after you watch the 90 second ads, there’s no way to get out of it and proceed to the app. Total waste of time.",1,8.5.0,2026-08-10T00:00:00.000Z
14408658475,"Used to be free, not anymore","I used to love this app for daily, quick workouts, but they recently changed it so you are unable to use it for free. Very disappointed in the changes this app has had, lots of AI use for their workouts as well. Sad to see this app go downhill.",1,8.4.29,2026-08-10T00:00:00.000Z
14401657445,Abs,I didn’t feel anything on my stomach where I’m supposed to get abs,4,8.4.29,2026-08-08T00:00:00.000Z
14397715067,"disappointed, hidden charges and app quality has gone downhill","This app has become a money grab. I have used this app for a long time, but the current version is extremely disappointing. The biggest issue is the subscription trap. I signed up for a trial expecting a trial experience, but I was charged afterward without a clear enough reminder. I have reported this to Apple because this kind of payment experience is not acceptable. What makes it worse is that the app itself is getting worse every year. The workouts are outdated, repetitive, and lack creativity. It feels like the team is recycling old content instead of creating new and useful fitness programs. For a paid fitness app, the lack of fresh content is unacceptable. I also noticed that critical reviews disappear, which makes me question how much the company values honest user feedback. This app used to have potential, but now it feels like the priority is getting subscriptions rather than delivering a quality fitness experience. Save your money and look for a better fitness app.",1,8.4.29,2026-08-07T00:00:00.000Z
14395044140,Do not buy,"I downloaded this app, thinking it would be different from all the other Workout apps that I used in the past, but that is not the case the questionnaire is the exact same from all the other Workout apps that I’ve downloaded.",1,8.4.29,2026-08-06T00:00:00.000Z
14386691397,I enjoyed this app,This app made me feel the burn and so far it’s been great,4,8.4.29,2026-08-04T00:00:00.000Z
14381025970,Is forcing me out of the free option,"I’ve been using this app for years for free and recently they’ve refused to let me work out using their app unless I pay, saying I’ve used my limit, which is absolutely ridiculous",1,8.4.28,2026-08-03T00:00:00.000Z
14373055910,AMAZING,✨You better get it now✨,5,8.4.28,2026-08-01T00:00:00.000Z
14367493057,Not worth it anymore. I’m disappointed.,"I used to use this app alllll the time in 2020 I recently decided I wanted to use it again, but it’s not the same at ALL. It’s all AI slip and you have to pay. It used to be free and easy to use and so helpful and effective. Now it’s useless. I wouldn’t recommend getting this app at all.",1,8.4.28,2026-07-30T00:00:00.000Z
14366900095,Military workout,I would like a longer interval time but overall I loved my first workout!,5,8.4.28,2026-07-30T00:00:00.000Z
